// concreteMediator mediator concreteColleague 
DP jdomain.jdraw.action.ScaleAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.ScaleAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.ViewAnimationAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ViewAnimationAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.ResetPaletteAlphaValuesAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ResetPaletteAlphaValuesAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.LoadAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.LoadAction jdomain.jdraw.action.ContinuedAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.LoadAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.LoadAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.LoadAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.LoadAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.SettingsAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.InsertAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.InsertAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.InsertAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.InsertAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.InsertAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.ResizeAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.ResizeAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ResizeAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.ResizeAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.RemoveColourAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.RemoveColourAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.RemoveColourAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.ReduceColoursAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.CompressAction
DP jdomain.jdraw.action.ReduceColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ReduceColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.CompressAction
DP jdomain.jdraw.action.ReduceColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.ReduceColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.CompressPaletteAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.CompressAction
DP jdomain.jdraw.action.CompressPaletteAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.CompressPaletteAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.CompressAction
DP jdomain.jdraw.action.CompressPaletteAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.CompressPaletteAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.EditFrameSettingsAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.data.Frame jdomain.jdraw.data.DataObject jdomain.jdraw.data.Clip
DP jdomain.jdraw.data.Frame jdomain.jdraw.data.DataObject jdomain.util.Log
DP jdomain.jdraw.data.Frame jdomain.jdraw.data.DataObject jdomain.jdraw.data.event.ChangeEvent
DP jdomain.jdraw.data.Frame jdomain.jdraw.data.DataObject jdomain.jdraw.data.Palette
DP jdomain.jdraw.data.Frame jdomain.jdraw.data.DataObject jdomain.jdraw.data.Picture
DP jdomain.jdraw.data.Clip jdomain.jdraw.data.DataObject jdomain.jdraw.data.event.ChangeEvent
DP jdomain.util.gui.LogPanel jdomain.util.LogListener jdomain.util.Log
DP jdomain.jdraw.action.AnimTutorialAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.HelpAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.gui.StatusPanel jdomain.util.gui.AntialiasPanel jdomain.util.gui.GUIUtil
DP jdomain.jdraw.gui.StatusPanel jdomain.util.LogListener jdomain.util.Log
DP jdomain.jdraw.action.ReopenAction jdomain.jdraw.action.ContinuedAction jdomain.jdraw.action.LoseChanges
DP jdomain.jdraw.gui.ToleranceDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.FrameSettingsDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.FrameSettingsDialog jdomain.jdraw.gui.DrawDialog jdomain.jdraw.Main
DP jdomain.jdraw.action.ToggleGridAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.action.RemoveFrameAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
